HOURS,MON,TUE,WED,THU,FRI,SAT,SUN
0,63,66,90,84,144,111,138
1,48,42,48,57,54,66,60
2,21,48,42,30,36,75,42
3,18,33,12,39,27,48,36
4,6,12,21,3,15,42,24
5,12,21,0,21,24,69,24
6,9,3,3,12,15,168,30
7,18,12,18,15,30,39,24
8,51,51,33,42,42,57,45
9,96,75,138,117,123,102,78
10,153,165,159,150,180,117,108
11,183,192,174,210,252,165,126
12,261,279,285,306,351,288,330
13,459,417,477,573,615,723,780
14,333,357,414,492,525,666,387
15,225,210,201,234,360,498,549
16,171,159,189,258,267,303,471
17,165,168,201,177,252,240,354
18,135,168,156,183,300,297,369
19,312,255,309,318,366,336,600
20,636,594,654,720,1032,834,1257
21,684,837,867,1041,1428,1188,1470
22,462,606,465,666,849,921,696
23,153,198,186,207,393,318,303
